Store,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,Markdown
1,2010-02-05,805672.66,False,42.31,2.572,211.0963582,8.106,0.0
1,2010-02-12,873960.6,True,38.51,2.548,211.2421698,8.106,0.0
1,2010-02-19,807503.79,False,39.93,2.514,211.2891429,8.106,0.0
1,2010-02-26,726167.58,False,46.63,2.561,211.3196429,8.106,0.0
1,2010-03-05,756257.07,False,46.5,2.625,211.3501429,8.106,0.0
1,2010-03-12,782568.05,False,57.79,2.667,211.3806429,8.106,0.0
1,2010-03-19,831303.46,False,54.58,2.72,211.215635,8.106,0.0
1,2010-03-26,779407.85,False,51.45,2.732,211.0180424,8.106,0.0
1,2010-04-02,773418.1,False,62.27,2.719,210.8204499,7.808,0.0
1,2010-04-09,816366.84,False,65.86,2.77,210.6228574,7.808,0.0
1,2010-04-16,743620.67,False,66.32,2.808,210.4887,7.808,0.0
1,2010-04-23,730793.53,False,64.84,2.795,210.4391228,7.808,0.0
1,2010-04-30,734098.5,False,67.41,2.78,210.3895456,7.808,0.0
1,2010-05-07,795843.7,False,72.55,2.835,210.3399684,7.808,0.0
1,2010-05-14,816997.54,False,74.78,2.854,210.3374261,7.808,0.0
1,2010-05-21,780275.09,False,76.44,2.826,210.6170934,7.808,0.0
1,2010-05-28,811344.03,False,80.44,2.759,210.8967606,7.808,0.0
1,2010-06-04,832890.6,False,80.69,2.705,211.1764278,7.808,0.0
1,2010-06-11,827769.45,False,80.43,2.668,211.4560951,7.808,0.0
1,2010-06-18,822283.95,False,84.11,2.637,211.4537719,7.808,0.0
1,2010-06-25,812565.08,False,84.34,2.653,211.3386526,7.808,0.0
1,2010-07-02,816795.84,False,80.91,2.669,211.2235333,7.787,0.0
1,2010-07-09,855935.07,False,80.48,2.642,211.108414,7.787,0.0
1,2010-07-16,802038.59,False,83.15,2.623,211.1003854,7.787,0.0
1,2010-07-23,785991.51,False,83.36,2.608,211.2351443,7.787,0.0
1,2010-07-30,784066.41,False,81.84,2.64,211.3699032,7.787,0.0
1,2010-08-06,853980.48,False,87.16,2.627,211.5046621,7.787,0.0
1,2010-08-13,826831.63,False,87.0,2.692,211.6394211,7.787,0.0
1,2010-08-20,835128.63,False,86.65,2.664,211.6033633,7.787,0.0
1,2010-08-27,741956.82,False,85.22,2.619,211.5673056,7.787,0.0
